Card Name,Front Face Name,Color,Color Code,Color Identity,Mana Cost,Mana Value,Rarity,Card Type,Power,Toughness,Loyalty,Layout,Second Half,Second Half Cost,Second Half Type,J2SJosh Rating,Rating Note,J2SJosh Commentary,Source Section,Source Article,Collector Number,Scryfall URL,Image URL,Scryfall ID
Gardenize,Gardenize,Green,G,G,{1}{G}{G},3,Rare,Enchantment,,,,normal,,,,0.0,,"They really don’t print many cards anymore that I can confidently say should never make your deck, but congratulations Gardenize—you found a way.

First, you have to spend three mana doing absolutely nothing. That’s already a giant red flag in Limited.

Then you need to have creatures.

Then those creatures need to die.

Then, after jumping through all of those hoops and getting later into the game, your glorious payoff is…checks notes…more mana.

You know, right around the point where your hand is probably empty and mana is the resource you need the least.

Even if your deck has a bunch of mana sinks, I still don’t want this anywhere near my starting 40.

If we were still doing the podcast, I’d 100% be betting Floridamun—go check out his Twitch stream—that he couldn’t trophy with this thing in his deck. And knowing him, he’d probably accept the bet just to spite me.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,103,https://scryfall.com/card/fra/103/gardenize,https://cards.scryfall.io/normal/front/9/3/930b89c3-4433-48de-829f-20fc3dbfced9.jpg?1789644837,930b89c3-4433-48de-829f-20fc3dbfced9
Greenhouse Propagator,Greenhouse Propagator,Green,G,G,{2}{G},3,Common,Creature — Cat Druid,2,3,,normal,,,,2.0,,"This is another card that basically asks one question: how many cards in your deck actually care about gaining life?

If you have multiple payoffs, this can become a key enabler and I’d value it quite a bit higher. If you don’t, then you’re mostly looking at a slightly overpriced ramp creature.

The right deck will want it badly. Everyone else can probably do better.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,104,https://scryfall.com/card/fra/104/greenhouse-propagator,https://cards.scryfall.io/normal/front/a/5/a56e0f91-b128-4693-a949-53cb403f4fbf.jpg?1789127136,a56e0f91-b128-4693-a949-53cb403f4fbf
Heartwood Crafter // Soul Tether,Heartwood Crafter,Green,G,RG,{G},1,Uncommon,Creature — Elf Artificer,1,1,,prepare,Soul Tether,{2}{R/G},Sorcery,2.0,,"Not being able to cast spells from your hand with the mana from this is a pretty enormous drawback unless your deck is absolutely loaded with Adventure or Prepared cards. Turns out Magic gets a little harder when half your hand is just decorative cardboard.

If you do have enough support, though, this can be kind of filthy. Dropping it on turn one and firing off the ability on turn two can put you way ahead of your opponent before they’ve even had time to wonder what the hell just happened. It can even help you steal back the tempo when you’re on the draw.

The downside is that this thing ages like gas station sushi. Great on turn one, considerably less exciting on turn five, and absolutely miserable when you rip it off the top late in the game.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,105,https://scryfall.com/card/fra/105/heartwood-crafter-soul-tether,https://cards.scryfall.io/normal/front/9/1/910a1f41-17fd-4ab0-9597-7151e79dc760.jpg?1789127630,910a1f41-17fd-4ab0-9597-7151e79dc760
Hexhaven Invigorator,Hexhaven Invigorator,Green,G,G,{G}{G}{G}{G},4,Mythic,Creature — Chimera Horror,6,6,,normal,,,,3.5,,"Obviously, the biggest issue here is the quadruple-green casting cost. Of course, when has a casting cost ever stopped a Limited player from jamming a bomb into a deck with six Forests and saying, “I’ll probably get there”?

Because if you can actually cast this thing, a 6/6 vigilance for four mana is disgusting. Then, just for fun, every time it takes damage it goes rummaging through your deck for a pile of lands.

At 2GG, I’d probably have this around a 4.5 and call it a day. At GGGG, I’m knocking it down to a 3.5 because the mana is a very real restriction.

That won’t stop people from putting it into decks where it has absolutely no business being, but at least I warned you.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,106,https://scryfall.com/card/fra/106/hexhaven-invigorator,https://cards.scryfall.io/normal/front/9/a/9a446cae-e93c-4574-8ffd-7688f9729a8a.jpg?1788878191,9a446cae-e93c-4574-8ffd-7688f9729a8a
Hungering Puppetbeast,Hungering Puppetbeast,Green,G,G,{3}{G}{G},5,Rare,Artifact Creature — Beast Construct,5,5,,normal,,,,4.0,,"You can tap and sacrifice the token immediately to come crashing in for six damage, which is a pretty rude way to introduce yourself.

If that’s not the right line, you can just hang onto the token for protection instead. Either way, you’re getting a big chonker with built-in versatility that can also cash in whatever random resources you have lying around.

That combination of raw stats, flexibility, and extra utility is exactly what I want out of a 4.0.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,107,https://scryfall.com/card/fra/107/hungering-puppetbeast,https://cards.scryfall.io/normal/front/3/d/3db2da7a-8088-4117-916b-f9c905d1b45b.jpg?1789127646,3db2da7a-8088-4117-916b-f9c905d1b45b
Hunter's Axe,Hunter's Axe,Green,G,G,{G},1,Uncommon,Artifact — Equipment,,,,normal,,,,2.5,,"Strangely enough, this might be one of the hardest cards in the set for me to rate properly.

If the equip cost were only one, I think this might actually be kind of disgusting. Of course, I’m also old enough to have Rancor and Bonesplitter permanently burned into my brain, so maybe nostalgia is doing some of the grading here.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,108,https://scryfall.com/card/fra/108/hunters-axe,https://cards.scryfall.io/normal/front/a/2/a2cc5d0e-9643-4ee2-81de-fa2c3bd1ab09.jpg?1789556822,a2cc5d0e-9643-4ee2-81de-fa2c3bd1ab09
Inspired Tethermage,Inspired Tethermage,Green,G,G,{2}{G},3,Common,Creature — Elf Warrior,3,2,,normal,,,,1.5,,"Mana sinks just don’t inspire me the way they used to. Cards are so efficient and packed with value now that I’m treating that part more like bonus upside than a reason to draft this.

What I do like is that it grows off every Empower Jace effect, and the fact that it can happen at instant speed makes combat significantly more awkward. There’s not even a once-per-turn restriction, so this can get out of hand if you really start chaining things together.

My biggest hangup is the two toughness. That leaves it fragile enough that all this potential upside might disappear before it ever gets going.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,109,https://scryfall.com/card/fra/109/inspired-tethermage,https://cards.scryfall.io/normal/front/0/7/073f4998-a204-447b-93d5-746ae87fd6a1.jpg?1788878192,073f4998-a204-447b-93d5-746ae87fd6a1
Omnipresence,Omnipresence,Green,G,G,{5}{G}{G}{G},8,Mythic,Enchantment,,,,normal,,,,0.0,,"I would say they really don’t print 0.0s anymore, but I’m pretty sure I already used that line recently. Apparently, Reality Fracture took that as a challenge.

Eight mana for an enchantment that lets you cast spells for free sounds exciting right up until you realize you also need to have a bunch of creatures lying around to make it work.

At that point, I think I’d rather just use that eight mana to…you know…cast my spells.

This is the kind of card that looks flashy, reads flashy, and then sits in your sideboard looking flashy.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,110,https://scryfall.com/card/fra/110/omnipresence,https://cards.scryfall.io/normal/front/e/a/eaf9dc77-c83b-49cf-84be-6bd791cb925e.jpg?1789470856,eaf9dc77-c83b-49cf-84be-6bd791cb925e
Puppet Crafting,Puppet Crafting,Green,G,G,{1}{G},2,Rare,Enchantment — Aura,,,,normal,,,,3.5,,"Ensoul Artifact used to be a busted Constructed card. This is basically a juiced-up version of that effect, just in a color that’s a lot less naturally interested in having piles of artifacts lying around. Green does at least have plenty of enchantments to work with.

This is a Limited review, though, so the first thing I’m checking is whether there are any cheap indestructible permanents around to really break this. There aren’t. There also isn’t a huge supply of cheap Treasures or other disposable artifacts to turn into monsters.

That probably leaves Heartwood tokens as your best option for consistently turning this into a giant beatstick and getting your beat on.

It should go without saying, but I’m going to say it anyway: do not put this in your deck if you don’t actually have artifacts or enchantments to target. A 3.5 assumes you brought the puppets before trying to do the crafting.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,111,https://scryfall.com/card/fra/111/puppet-crafting,https://cards.scryfall.io/normal/front/6/b/6b8789a6-3b63-4198-af5f-c2f2f49fafd9.jpg?1789470736,6b8789a6-3b63-4198-af5f-c2f2f49fafd9
Restore with Empathy,Restore with Empathy,Green,G,G,{2}{G},3,Uncommon,Instant,,,,normal,,,,2.0,,"A Regrowth that can only grab permanents is obviously a little limited, but in green that’s usually what you were planning to get back anyway.

What pushes this up for me is the instant speed and the four-life tacked on. Neither is earth-shattering, but together they add enough flexibility and value to bump this up about half a point.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,112,https://scryfall.com/card/fra/112/restore-with-empathy,https://cards.scryfall.io/normal/front/3/5/3546b93b-a7d1-451d-a369-22cc8ddcd00d.jpg?1788865848,3546b93b-a7d1-451d-a369-22cc8ddcd00d
Simulacrum Shaper,Simulacrum Shaper,Green,G,G,{1}{G}{G},3,Rare,Creature — Elf Druid,2,2,,normal,,,,4.0,,"Solemn Simulacrum has been a great card in both Limited and Constructed for about a billion years. Now you’re telling me I get a cheaper version? Sounds like a bargain to me.

The obvious catch is the double-green casting cost, which makes this noticeably harder to splash and a little less automatic than it first looks.

If this cost 2G instead of 1GG, I’d have no problem pushing it all the way up to a 4.5. As printed, it’s still an excellent card that I’m going to be very happy taking early.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,113,https://scryfall.com/card/fra/113/simulacrum-shaper,https://cards.scryfall.io/normal/front/7/c/7c725702-8696-4e5a-8318-62f5e2616d52.jpg?1789470857,7c725702-8696-4e5a-8318-62f5e2616d52
Something Worth Saving,Something Worth Saving,Green,G,G,{1}{G},2,Common,Instant,,,,normal,,,,2.0,,"This does a bunch of little things that can add up to something pretty useful in the right deck.

You get some card selection, a little graveyard filling in a format with plenty of ways to profit from that, and a life gain trigger thrown in for good measure. None of those things are spectacular on their own, but there’s a pretty good chance at least one of them is doing something your deck actually cares about.

That makes this exactly the kind of unassuming glue card that helps hold a deck together.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,114,https://scryfall.com/card/fra/114/something-worth-saving,https://cards.scryfall.io/normal/front/0/2/02ee7817-40af-4fcf-a2df-eb218b669281.jpg?1788878199,02ee7817-40af-4fcf-a2df-eb218b669281
Sureshot Sower,Sureshot Sower,Green,G,G,{1}{G},2,Common,Creature — Human Archer,3,1,,normal,,,,2.0,,"Normally, “destroy target creature with flying” is code for “please leave me in the sideboard until further notice.”

Sureshot Sower gets to dodge that fate because it’s still a perfectly acceptable two-drop when your opponent forgot to bring any birds, dragons, angels, or other airborne nonsense.

Most of the time, it’s just doing honest curve-filler work. Every once in a while, though, it gets to swat something expensive out of the sky.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,115,https://scryfall.com/card/fra/115/sureshot-sower,https://cards.scryfall.io/normal/front/b/6/b635389c-e286-4edb-80d1-23dbe4a18857.jpg?1789614751,b635389c-e286-4edb-80d1-23dbe4a18857
Tarmogoyf,Tarmogoyf,Green,G,G,{1}{G},2,Mythic,Creature — Lhurgoyf,*,1+*,,normal,,,,3.5,,"Oh, how the mighty have fallen.

There was a time when Tarmogoyf showing up across the table made people start reconsidering their life choices. Now we’re looking at it in Limited and saying, “Yeah, that’s a pretty good two-drop.”

It’s still going to be a whole lot of stats for the low, low price of two mana. It may take a little while to really get beefy, but cards like Something Worth Saving can help stock the graveyard and get Goyf online faster.

Still excellent. Just no longer the boogeyman it once was.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,116,https://scryfall.com/card/fra/116/tarmogoyf,https://cards.scryfall.io/normal/front/8/b/8be5ee47-8f8a-4e3c-b1a1-9ca0e1fdec7f.jpg?1789127270,8be5ee47-8f8a-4e3c-b1a1-9ca0e1fdec7f
Tethermage's Advantage,Tethermage's Advantage,Green,G,G,{G},1,Common,Instant,,,,normal,,,,1.5,,"Do you need a cheap combat trick and mostly just care about getting some extra stats? Cool, this does the job.

The reach and untap clauses will absolutely matter from time to time, but they also tempt you into casting this during combat while your opponent is sitting there with open mana and a suspicious amount of confidence.

I don’t know about you, but I try to avoid buying a one-way ticket to Blowout City. The accommodations suck and somehow your opponent always gets upgraded to first class.",Green,https://mtgazone.com/reality-fracture-fra-limited-set-review-green/,117,https://scryfall.com/card/fra/117/tethermages-advantage,https://cards.scryfall.io/normal/front/3/8/38589a7c-9cfb-4bcc-845e-9dc205095853.jpg?1789129937,38589a7c-9cfb-4bcc-845e-9dc205095853
